


Company:;
SerialNumber:;
ManufacturerID:;
Project:;Super Tech Project
AttendantName:;
AttendantMail:;
UserName:;
UserMail:;
UserLogin:;SuperTechLogin
Description0:;Cool measurements
Configuration application:;V66.66.66
ConfigurationFile:;/path/to/cool/configfile
ConfigurationFileCreation:;2012-07-11 12:43:24


\Data:
Time_100Hz;P_cyl;F_cyl;L_cyl;Fc1_cal;Fc2_cal;
;11447746;11410572;11120448;11410106;11410098;
(s);(bar);(uN);(m);(mN);(mN);

       0.65000000;       0.00152418;       0.05966469;      -0.00518103;      -0.07086782;       0.08820512;
       0.66000000;       0.00152418;       0.05966469;      -0.00011788;      -0.08976590;       0.06963562;
       0.67000000;       0.00152418;       0.05788365;      -0.00518103;      -0.07086782;       0.06035087;
       0.68000000;       0.00274352;       0.05966469;      -0.00518103;      -0.05196973;       0.06963562;
       0.69000000;       0.00091451;       0.05788365;      -0.00518103;      -0.07086782;       0.07892037;
       0.70000000;       0.00213385;       0.05610262;      -0.00518103;      -0.06141877;       0.08820512;
       0.71000000;       0.00152418;       0.05610262;      -0.00518103;      -0.05196973;       0.06035087;
       0.72000000;       0.00152418;       0.05966469;      -0.00518103;      -0.08031686;       0.06963562;
       0.73000000;       0.00213385;       0.05788365;      -0.00518103;      -0.08976590;       0.06035087;
       0.74000000;       0.00091451;       0.05788365;      -0.00518103;      -0.05196973;       0.07892037;
       0.75000000;       0.00091451;       0.05432158;      -0.00518103;      -0.05196973;       0.06963562;
       0.76000000;       0.00152418;       0.05966469;      -0.00518103;      -0.05196973;       0.04178137;
       0.77000000;       0.00152418;       0.05788365;      -0.00518103;      -0.08031686;       0.06963562;
       0.78000000;       0.00152418;       0.05610262;      -0.00518103;      -0.04252069;       0.06035087;
       0.79000000;       0.00152418;       0.05610262;      -0.00518103;      -0.05196973;       0.06035087;
       0.80000000;       0.00152418;       0.06144573;      -0.00518103;      -0.07086782;       0.05106612;
       0.81000000;       0.00152418;       0.06322676;      -0.00518103;      -0.07086782;       0.04178137;
       0.82000000;       0.00152418;       0.05432158;      -0.00518103;      -0.08031686;       0.06963562;
       0.83000000;       0.00152418;       0.05966469;      -0.00518103;      -0.07086782;       0.06963562;
       0.84000000;       0.00213385;       0.05788365;      -0.00518103;      -0.05196973;       0.07892037;
       0.85000000;       0.00152418;       0.06144573;      -0.00518103;      -0.04252069;       0.07892037;
       0.86000000;       0.00213385;       0.05788365;      -0.00518103;      -0.04252069;       0.06963562;
       0.87000000;       0.00152418;       0.05966469;      -0.00518103;      -0.06141877;       0.05106612;
       0.88000000;       0.00213385;       0.05610262;      -0.00518103;      -0.07086782;       0.07892037;
       0.89000000;       0.00152418;       0.06322676;      -0.00518103;      -0.07086782;       0.06963562;
       0.90000000;       0.00213385;       0.05966469;      -0.00518103;      -0.08976590;       0.06963562;
       0.91000000;       0.00091451;       0.05610262;      -0.00518103;      -0.07086782;       0.07892037;
       0.92000000;       0.00152418;       0.05610262;      -0.00518103;      -0.06141877;       0.06963562;
       0.93000000;       0.00152418;       0.05966469;      -0.00518103;      -0.07086782;       0.06963562;
       0.94000000;       0.00213385;       0.05788365;      -0.00518103;      -0.04252069;       0.09748987;
       0.95000000;       0.00091451;       0.06500780;      -0.00518103;      -0.05196973;       0.04178137;
       0.96000000;       0.00152418;       0.05788365;      -0.00518103;      -0.08031686;       0.06963562;
       0.97000000;       0.00152418;       0.05610262;      -0.00518103;      -0.08031686;       0.05106612;
       0.98000000;       0.00152418;       0.06322676;      -0.00518103;      -0.04252069;       0.06035087;
       0.99000000;       0.00091451;       0.05610262;      -0.00518103;      -0.08976590;       0.06035087;
       1.00000000;       0.00152418;       0.05966469;      -0.00518103;      -0.05196973;       0.06963562;
       1.01000000;       0.00030484;       0.05788365;      -0.00518103;      -0.08031686;       0.06035087;
       1.02000000;       0.00091451;       0.05788365;      -0.00518103;      -0.06141877;       0.06963562;
       1.03000000;       0.00091451;       0.05788365;      -0.00518103;      -0.07086782;       0.06035087;
       1.04000000;       0.00274352;       0.05788365;      -0.00011788;      -0.07086782;       0.06963562;
       1.05000000;       0.00152418;       0.05788365;      -0.00518103;      -0.08031686;       0.06035087;
       1.06000000;       0.00152418;       0.05254055;      -0.00518103;      -0.07086782;       0.06963562;
       1.07000000;       0.00091451;       0.05966469;      -0.00011788;      -0.07086782;       0.08820512;
       1.08000000;       0.00152418;       0.05966469;      -0.00518103;      -0.08976590;       0.07892037;
       1.09000000;       0.00091451;       0.05610262;      -0.00518103;      -0.07086782;       0.05106612;
       1.10000000;       0.00152418;       0.06144573;      -0.00518103;      -0.07086782;       0.08820512;
       1.11000000;       0.00152418;       0.05966469;      -0.00518103;      -0.07086782;       0.06963562;
       1.12000000;       0.00152418;       0.05254055;      -0.00518103;      -0.06141877;       0.06963562;
       1.13000000;       0.00152418;       0.05966469;      -0.00518103;      -0.05196973;       0.07892037;
       1.14000000;       0.00213385;       0.05788365;      -0.00518103;      -0.04252069;       0.06035087;
       1.15000000;       0.00152418;       0.05610262;      -0.00518103;      -0.07086782;       0.06035087;
       1.16000000;       0.00274352;       0.05788365;      -0.00518103;      -0.05196973;       0.06035087;
       1.17000000;       0.00030484;       0.05432158;      -0.00518103;      -0.07086782;       0.04178137;
       1.18000000;       0.00152418;       0.05966469;      -0.00518103;      -0.05196973;       0.06035087;
       1.19000000;       0.00091451;       0.06144573;      -0.00518103;      -0.05196973;       0.06035087;
       1.20000000;       0.00152418;       0.05966469;      -0.00518103;      -0.05196973;       0.08820512;
       1.21000000;       0.00152418;       0.05788365;      -0.00518103;      -0.07086782;       0.05106612;
       1.22000000;       0.00152418;       0.06144573;      -0.00518103;      -0.07086782;       0.06963562;
       1.23000000;       0.00152418;       0.05788365;      -0.00518103;      -0.08031686;       0.06963562;
       1.24000000;       0.00091451;       0.05966469;      -0.00518103;      -0.05196973;       0.05106612;
       1.25000000;       0.00152418;       0.05966469;      -0.00518103;      -0.08031686;       0.06963562;
       1.26000000;       0.00152418;       0.05610262;      -0.00518103;      -0.08031686;       0.10677462;
       1.27000000;       0.00213385;       0.05610262;      -0.00518103;      -0.05196973;       0.09748987;
       1.28000000;       0.00213385;       0.05610262;      -0.00518103;      -0.03307165;       0.08820512;
       1.29000000;       0.00091451;       0.05788365;      -0.00518103;      -0.06141877;       0.06963562;
       1.30000000;       0.00213385;       0.05966469;      -0.00011788;      -0.08031686;       0.07892037;
       1.31000000;       0.00152418;       0.05788365;      -0.00518103;      -0.08031686;       0.06035087;
       1.32000000;       0.00213385;       0.05966469;      -0.00518103;      -0.06141877;       0.08820512;
       1.33000000;       0.00091451;       0.06144573;      -0.00518103;      -0.07086782;       0.06035087;
       1.34000000;       0.00213385;       0.06144573;      -0.00011788;      -0.08031686;       0.10677462;
       1.35000000;       0.00152418;       0.05610262;      -0.00518103;      -0.06141877;       0.07892037;
       1.36000000;       0.00213385;       0.05788365;      -0.00518103;      -0.08031686;       0.09748987;
       1.37000000;       0.00030484;       0.05610262;      -0.00011788;      -0.05196973;       0.08820512;
       1.38000000;       0.00213385;       0.05788365;      -0.00518103;      -0.07086782;       0.06963562;
       1.39000000;       0.00091451;       0.05610262;      -0.00011788;      -0.08031686;       0.07892037;
       1.40000000;       0.00152418;       0.05966469;      -0.00011788;      -0.07086782;       0.07892037;
       1.41000000;       0.00152418;       0.05788365;      -0.00518103;      -0.06141877;       0.06963562;
       1.42000000;       0.00213385;       0.05788365;      -0.00518103;      -0.06141877;       0.07892037;
       1.43000000;       0.00152418;       0.05966469;      -0.00518103;      -0.07086782;       0.07892037;
       1.44000000;       0.00213385;       0.05254055;      -0.00518103;      -0.07086782;       0.06963562;
       1.45000000;       0.00091451;       0.05610262;      -0.00518103;      -0.06141877;       0.07892037;
       1.46000000;       0.00213385;       0.05610262;      -0.00518103;      -0.08031686;       0.07892037;
       1.47000000;       0.00152418;       0.05610262;      -0.00011788;      -0.06141877;       0.06963562;
       1.48000000;       0.00152418;       0.06322676;      -0.00518103;      -0.06141877;       0.05106612;
       1.49000000;       0.00091451;       0.05966469;      -0.00011788;      -0.06141877;       0.07892037;
       1.50000000;       0.00152418;       0.06144573;      -0.00518103;      -0.06141877;       0.06963562;
       1.51000000;       0.00030484;       0.05432158;      -0.00011788;      -0.07086782;       0.07892037;
       1.52000000;       0.00213385;       0.05788365;      -0.00518103;      -0.08031686;       0.08820512;
       1.53000000;       0.00152418;       0.06500780;      -0.00518103;      -0.06141877;       0.07892037;
       1.54000000;       0.00152418;       0.05788365;      -0.00011788;      -0.08031686;       0.04178137;
       1.55000000;       0.00091451;       0.05788365;      -0.00518103;      -0.04252069;       0.05106612;
       1.56000000;       0.00091451;       0.05788365;      -0.00518103;      -0.05196973;       0.06035087;
       1.57000000;       0.00152418;       0.05966469;      -0.00011788;      -0.07086782;       0.06035087;
       1.58000000;       0.00152418;       0.05788365;      -0.00518103;      -0.06141877;       0.07892037;
       1.59000000;       0.00152418;       0.06322676;      -0.00518103;      -0.06141877;       0.07892037;
       1.60000000;       0.00213385;       0.05966469;      -0.00518103;      -0.08031686;       0.06963562;
       1.61000000;       0.00152418;       0.05966469;      -0.00518103;      -0.05196973;       0.05106612;
       1.62000000;       0.00213385;       0.05966469;      -0.00518103;      -0.08031686;       0.08820512;
       1.63000000;       0.00152418;       0.05966469;      -0.00518103;      -0.07086782;       0.06963562;
       1.64000000;       0.00213385;       0.05966469;      -0.00518103;      -0.06141877;       0.05106612;
       1.65000000;       0.00091451;       0.05966469;      -0.00518103;      -0.08976590;       0.06035087;
       1.66000000;       0.00152418;       0.05966469;      -0.00011788;      -0.05196973;       0.08820512;
       1.67000000;       0.00091451;       0.05788365;      -0.00011788;      -0.04252069;       0.06035087;
       1.68000000;       0.00213385;       0.05610262;      -0.00518103;      -0.06141877;       0.07892037;
       1.69000000;       0.00091451;       0.06144573;      -0.00518103;      -0.06141877;       0.06035087;
       1.70000000;       0.00213385;       0.05966469;      -0.00518103;      -0.07086782;       0.06963562;
       1.71000000;       0.00091451;       0.05788365;      -0.00518103;      -0.08031686;       0.06963562;
       1.72000000;       0.00152418;       0.06500780;      -0.00518103;      -0.06141877;       0.05106612;
       1.73000000;       0.00091451;       0.06322676;      -0.00011788;      -0.08031686;       0.04178137;
       1.74000000;       0.00274352;       0.05966469;      -0.00518103;      -0.06141877;       0.07892037;
       1.75000000;       0.00152418;       0.05966469;      -0.00518103;      -0.06141877;       0.09748987;
       1.76000000;       0.00213385;       0.05610262;      -0.00011788;      -0.08976590;       0.09748987;
       1.77000000;       0.00091451;       0.05610262;      -0.00011788;      -0.04252069;       0.06035087;
       1.78000000;       0.00152418;       0.05788365;      -0.00011788;      -0.08031686;       0.06963562;
       1.79000000;       0.00152418;       0.05788365;      -0.00518103;      -0.05196973;       0.06035087;
       1.80000000;       0.00274352;       0.05788365;      -0.00518103;      -0.07086782;       0.05106612;
       1.81000000;       0.00091451;       0.05610262;      -0.00518103;      -0.04252069;       0.05106612;
       1.82000000;       0.00152418;       0.05610262;      -0.00518103;      -0.06141877;       0.06963562;
       1.83000000;       0.00030484;       0.05788365;      -0.00011788;      -0.07086782;       0.05106612;
       1.84000000;       0.00213385;       0.05610262;      -0.00518103;      -0.06141877;       0.06963562;
       1.85000000;       0.00152418;       0.06144573;      -0.00011788;      -0.07086782;       0.06035087;
       1.86000000;       0.00152418;       0.05966469;      -0.00518103;      -0.06141877;       0.05106612;
       1.87000000;       0.00091451;       0.06144573;      -0.00518103;      -0.08031686;       0.07892037;
       1.88000000;       0.00152418;       0.05432158;      -0.00011788;      -0.02362261;       0.06963562;
       1.89000000;       0.00152418;       0.05788365;      -0.00011788;      -0.07086782;       0.06963562;
       1.90000000;       0.00213385;       0.05432158;      -0.00518103;      -0.07086782;       0.08820512;
       1.91000000;       0.00091451;       0.05788365;      -0.00518103;      -0.06141877;       0.06963562;
       1.92000000;       0.00213385;       0.05966469;      -0.00518103;      -0.05196973;       0.05106612;
       1.93000000;       0.00152418;       0.05610262;      -0.00518103;      -0.06141877;       0.05106612;
       1.94000000;       0.00213385;       0.05432158;      -0.00518103;      -0.08976590;       0.06963562;
       1.95000000;       0.00152418;       0.06144573;      -0.00518103;      -0.06141877;       0.06035087;
       1.96000000;       0.00274352;       0.05788365;      -0.00518103;      -0.08031686;       0.06963562;
       1.97000000;       0.00152418;       0.05432158;      -0.00518103;      -0.06141877;       0.07892037;
       1.98000000;       0.00152418;       0.05610262;      -0.00011788;      -0.05196973;       0.04178137;
       1.99000000;       0.00152418;       0.06144573;      -0.00011788;      -0.04252069;       0.07892037;
       2.00000000;       0.00213385;       0.05788365;      -0.00011788;      -0.08031686;       0.07892037;
       2.01000000;       0.00152418;       0.05788365;      -0.00518103;      -0.07086782;       0.08820512;
       2.02000000;       0.00213385;       0.05788365;      -0.00518103;      -0.07086782;       0.06963562;
       2.03000000;       0.00091451;       0.05432158;      -0.00011788;      -0.05196973;       0.05106612;
       2.04000000;       0.00152418;       0.05432158;      -0.00518103;      -0.05196973;       0.07892037;
       2.05000000;       0.00152418;       0.05788365;      -0.00518103;      -0.06141877;       0.07892037;
       2.06000000;       0.00213385;       0.05610262;      -0.00518103;      -0.07086782;       0.06963562;
       2.07000000;       0.00213385;       0.05610262;      -0.00518103;      -0.05196973;       0.06035087;
       2.08000000;       0.00152418;       0.05788365;      -0.00011788;      -0.05196973;       0.06963562;
       2.09000000;       0.00213385;       0.05788365;      -0.00011788;      -0.08031686;       0.08820512;
       2.10000000;       0.00091451;       0.05788365;      -0.00011788;      -0.08976590;       0.07892037;
       2.11000000;       0.00152418;       0.05788365;      -0.00518103;      -0.07086782;       0.05106612;
       2.12000000;       0.00152418;       0.06144573;      -0.00011788;      -0.07086782;       0.07892037;
       2.13000000;       0.00091451;       0.05788365;      -0.00011788;      -0.07086782;       0.04178137;
       2.14000000;       0.00152418;       0.05966469;      -0.00011788;      -0.06141877;       0.06963562;
       2.15000000;       0.00091451;       0.06322676;      -0.00011788;      -0.07086782;       0.03249662;
       2.16000000;       0.00152418;       0.05610262;      -0.00011788;      -0.07086782;       0.06963562;
       2.17000000;       0.00152418;       0.06322676;      -0.00011788;      -0.07086782;       0.05106612;
       2.18000000;       0.00274352;       0.06144573;      -0.00011788;      -0.08976590;       0.06963562;
       2.19000000;       0.00091451;       0.05966469;      -0.00011788;      -0.06141877;       0.06035087;
       2.20000000;       0.00152418;       0.05788365;      -0.00518103;      -0.04252069;       0.06963562;
       2.21000000;       0.00091451;       0.06322676;      -0.00011788;      -0.06141877;       0.05106612;
       2.22000000;       0.00213385;       0.05788365;      -0.00518103;      -0.07086782;       0.05106612;
       2.23000000;       0.00091451;       0.05610262;      -0.00518103;      -0.06141877;       0.06963562;
       2.24000000;       0.00213385;       0.05610262;      -0.00518103;      -0.06141877;       0.05106612;
       2.25000000;       0.00152418;       0.05966469;      -0.00518103;      -0.05196973;       0.06035087;
       2.26000000;       0.00152418;       0.05788365;      -0.00518103;      -0.05196973;       0.06035087;
       2.27000000;       0.00091451;       0.05610262;      -0.00518103;      -0.07086782;       0.07892037;
       2.28000000;       0.00213385;       0.06144573;      -0.00518103;      -0.08031686;       0.07892037;
       2.29000000;       0.00091451;       0.05610262;      -0.00518103;      -0.06141877;       0.07892037;
       2.30000000;       0.00152418;       0.05966469;      -0.00518103;      -0.07086782;       0.08820512;
       2.31000000;       0.00152418;       0.05966469;      -0.00011788;      -0.06141877;       0.05106612;
       2.32000000;       0.00213385;       0.05788365;      -0.00518103;      -0.05196973;       0.06035087;
       2.33000000;       0.00091451;       0.05610262;      -0.00518103;      -0.06141877;       0.05106612;
       2.34000000;       0.00213385;       0.05788365;      -0.00518103;      -0.04252069;       0.07892037;
       2.35000000;       0.00152418;       0.05432158;      -0.00011788;      -0.06141877;       0.07892037;
       2.36000000;       0.00152418;       0.06322676;      -0.00011788;      -0.06141877;       0.06963562;
       2.37000000;       0.00091451;       0.05966469;      -0.00518103;      -0.06141877;       0.06963562;
       2.38000000;       0.00213385;       0.05966469;      -0.00518103;      -0.06141877;       0.06963562;
       2.39000000;       0.00091451;       0.05788365;      -0.00011788;      -0.06141877;       0.06963562;
       2.40000000;       0.00213385;       0.05432158;      -0.00011788;      -0.07086782;       0.05106612;
       2.41000000;       0.00091451;       0.05966469;      -0.00518103;      -0.06141877;       0.06963562;
       2.42000000;       0.00274352;       0.05610262;      -0.00518103;      -0.05196973;       0.07892037;
       2.43000000;       0.00152418;       0.05788365;      -0.00518103;      -0.06141877;       0.07892037;
       2.44000000;       0.00152418;       0.05610262;      -0.00518103;      -0.05196973;       0.06963562;
       2.45000000;       0.00091451;       0.06144573;      -0.00518103;      -0.07086782;       0.06035087;
       2.46000000;       0.00213385;       0.05254055;      -0.00518103;      -0.02362261;       0.07892037;
       2.47000000;       0.00091451;       0.06322676;      -0.00518103;      -0.07086782;       0.06035087;
       2.48000000;       0.00335319;       0.05610262;      -0.00011788;      -0.06141877;       0.05106612;
       2.49000000;       0.00213385;       0.06144573;      -0.00011788;      -0.06141877;       0.06963562;
       2.50000000;       0.00213385;       0.05966469;      -0.00518103;      -0.06141877;       0.06035087;
       2.51000000;       0.00213385;       0.05788365;      -0.00518103;      -0.06141877;       0.06035087;
       2.52000000;       0.00213385;       0.05610262;      -0.00518103;      -0.07086782;       0.06963562;
       2.53000000;       0.00152418;       0.05788365;      -0.00518103;      -0.07086782;       0.06963562;
       2.54000000;       0.00213385;       0.05610262;      -0.00518103;      -0.06141877;       0.06963562;
       2.55000000;       0.00152418;       0.05432158;      -0.00518103;      -0.07086782;       0.06963562;
       2.56000000;       0.00152418;       0.05610262;      -0.00518103;      -0.06141877;       0.07892037;
       2.57000000;       0.00152418;       0.05610262;      -0.00518103;      -0.07086782;       0.04178137;
       2.58000000;       0.00152418;       0.06144573;      -0.00518103;      -0.07086782;       0.08820512;
       2.59000000;       0.00152418;       0.05610262;      -0.00011788;      -0.05196973;       0.05106612;
       2.60000000;       0.00213385;       0.05966469;      -0.00518103;      -0.07086782;       0.05106612;
       2.61000000;       0.00152418;       0.06322676;      -0.00518103;      -0.07086782;       0.06963562;
       2.62000000;       0.00152418;       0.05432158;      -0.00011788;      -0.04252069;       0.08820512;
       2.63000000;       0.00152418;       0.05788365;      -0.00518103;      -0.06141877;       0.09748987;
       2.64000000;       0.00213385;       0.05788365;      -0.00518103;      -0.06141877;       0.08820512;
       2.65000000;       0.00091451;       0.05966469;      -0.00518103;      -0.05196973;       0.06963562;
       2.66000000;       0.00213385;       0.05610262;      -0.00518103;      -0.04252069;       0.06963562;
       2.67000000;       0.00152418;       0.05432158;      -0.00011788;      -0.07086782;       0.05106612;
       2.68000000;       0.00274352;       0.05610262;      -0.00518103;      -0.07086782;       0.06963562;
       2.69000000;       0.00152418;       0.05788365;      -0.00518103;      -0.08031686;       0.06035087;
       2.70000000;       0.00213385;       0.05788365;      -0.00518103;      -0.05196973;       0.06963562;
       2.71000000;       0.00152418;       0.05788365;      -0.00518103;      -0.05196973;       0.06035087;
       2.72000000;       0.00213385;       0.06144573;      -0.00518103;      -0.05196973;       0.07892037;
       2.73000000;       0.00091451;       0.06144573;      -0.00518103;      -0.08031686;       0.06963562;
       2.74000000;       0.00152418;       0.05966469;      -0.00518103;      -0.05196973;       0.08820512;
       2.75000000;       0.00091451;       0.05966469;      -0.00518103;      -0.05196973;       0.06035087;
       2.76000000;       0.00213385;       0.05788365;      -0.00518103;      -0.06141877;       0.05106612;
       2.77000000;       0.00152418;       0.05610262;      -0.00518103;      -0.06141877;       0.06035087;
       2.78000000;       0.00274352;       0.06144573;      -0.00518103;      -0.04252069;       0.06035087;
       2.79000000;       0.00091451;       0.05788365;      -0.00011788;      -0.06141877;       0.06035087;
       2.80000000;       0.00152418;       0.05788365;      -0.00011788;      -0.08031686;       0.06963562;
       2.81000000;       0.00152418;       0.05788365;      -0.00011788;      -0.08031686;       0.05106612;
       2.82000000;       0.00152418;       0.06144573;      -0.00011788;      -0.07086782;       0.06035087;
       2.83000000;       0.00091451;       0.05966469;      -0.00011788;      -0.05196973;       0.06035087;
       2.84000000;       0.00213385;       0.05966469;      -0.00011788;      -0.05196973;       0.08820512;
       2.85000000;       0.00091451;       0.05966469;      -0.00011788;      -0.08031686;       0.06963562;
       2.86000000;       0.00213385;       0.05610262;      -0.00011788;      -0.05196973;       0.06963562;
       2.87000000;       0.00152418;       0.05966469;      -0.00518103;      -0.07086782;       0.06035087;
       2.88000000;       0.00213385;       0.05966469;      -0.00518103;      -0.07086782;       0.06963562;
       2.89000000;       0.00091451;       0.06144573;      -0.00518103;      -0.06141877;       0.06035087;
       2.90000000;       0.00152418;       0.05966469;      -0.00011788;      -0.04252069;       0.06035087;
       2.91000000;       0.00091451;       0.06322676;      -0.00518103;      -0.04252069;       0.06963562;
       2.92000000;       0.00152418;       0.05788365;      -0.00011788;      -0.06141877;       0.09748987;
       2.93000000;       0.00091451;       0.05610262;      -0.00518103;      -0.07086782;       0.06963562;
       2.94000000;       0.00213385;       0.05966469;      -0.00518103;      -0.07086782;       0.06963562;
       2.95000000;       0.00030484;       0.05966469;      -0.00518103;      -0.05196973;       0.07892037;
       2.96000000;       0.00274352;       0.05788365;      -0.00518103;      -0.06141877;       0.07892037;
       2.97000000;       0.00152418;       0.05788365;      -0.00011788;      -0.04252069;       0.08820512;
       2.98000000;       0.00213385;       0.05788365;      -0.00011788;      -0.06141877;       0.07892037;
