|  Kod | Kommun          |  qty | meanprice |
| 1419 | Tjörn           |  159 |      3254 |
| 1421 | Orust           |  130 |      2455 |
| 1427 | Sotenäs         |   62 |      3373 |
| 1430 | Munkedal        |   84 |      1527 |
| 1435 | Tanum           |   91 |      2561 |
| 1438 | Dals-Ed         |   27 |      1104 |
| 1439 | Färgelanda      |   46 |       807 |
| 1440 | Ale             |  227 |      3319 |
| 1441 | Lerum           |  342 |      3813 |
| 1442 | Vårgårda        |   70 |      1916 |
| 1443 | Bollebygd       |   83 |      2518 |
| 1444 | Grästorp        |   41 |      1089 |
| 1445 | Essunga         |   39 |      1125 |
| 1446 | Karlsborg       |   59 |      1224 |
| 1447 | Gullspång       |   57 |       613 |
| 1452 | Tranemo         |  116 |       909 |
| 1460 | Bengtsfors      |   80 |       862 |
| 1461 | Mellerud        |   89 |       885 |
| 1462 | Lilla Edet      |  159 |      1912 |
| 1463 | Mark            |  238 |      1949 |
| 1465 | Svenljunga      |   88 |      1052 |
| 1466 | Herrljunga      |   65 |      1495 |
| 1470 | Vara            |  120 |      1017 |
| 1471 | Götene          |  109 |      1333 |
| 1472 | Tibro           |  102 |      1410 |
| 1473 | Töreboda        |   60 |       887 |
| 1480 | Göteborg        | 1268 |      5890 |
| 1481 | Mölndal         |  348 |      4839 |
| 1482 | Kungälv         |  289 |      4081 |
| 1484 | Lysekil         |  105 |      2343 |
| 1485 | Uddevalla       |  294 |      2595 |
| 1486 | Strömstad       |   76 |      3329 |
| 1487 | Vänersborg      |  223 |      1935 |
| 1488 | Trollhättan     |  236 |      2827 |
| 1489 | Alingsås        |  230 |      3284 |
| 1490 | Borås           |  499 |      2677 |
| 1491 | Ulricehamn      |  185 |      1633 |
| 1492 | Åmål            |   92 |      1088 |
| 1493 | Mariestad       |  170 |      1724 |
| 1494 | Lidköping       |  212 |      2474 |
| 1495 | Skara           |  110 |      1590 |
| 1496 | Skövde          |  306 |      2353 |
| 1497 | Hjo             |   67 |      1453 |
| 1498 | Tidaholm        |  112 |      1338 |
| 1499 | Falköping       |  178 |      1516 |
| 1715 | Kil             |   97 |      1596 |
| 1730 | Eda             |   61 |       917 |
| 1737 | Torsby          |   88 |       903 |
| 1760 | Storfors        |   54 |       597 |
| 1761 | Hammarö         |  129 |      2826 |
| 1762 | Munkfors        |   48 |       434 |
| 1763 | Forshaga        |  141 |      1292 |
| 1764 | Grums           |   82 |       911 |
| 1765 | Årjäng          |   47 |      1365 |
| 1766 | Sunne           |   85 |      1357 |
| 1780 | Karlstad        |  443 |      2685 |
| 1781 | Kristinehamn    |  126 |      1164 |
| 1782 | Filipstad       |   95 |       553 |
| 1783 | Hagfors         |  136 |       635 |
| 1784 | Arvika          |  137 |      1436 |
| 1785 | Säffle          |  118 |       920 |
| 1814 | Lekeberg        |   64 |      1520 |
| 1860 | Laxå            |   59 |       714 |
| 1861 | Hallsberg       |  162 |      1248 |
| 1862 | Degerfors       |   79 |       747 |
| 1863 | Hällefors       |   66 |       519 |
| 1864 | Ljusnarsberg    |   62 |       636 |
| 1880 | Örebro          |  613 |      3116 |
| 1881 | Kumla           |  176 |      2053 |
| 1882 | Askersund       |   90 |      1356 |
| 1883 | Karlskoga       |  218 |      1540 |
| 1884 | Nora            |   73 |      1368 |
| 1885 | Lindesberg      |  200 |      1225 |
| 1904 | Skinnskatteberg |   57 |       892 |
| 1907 | Surahammar      |  100 |      1510 |
| 1960 | Kungsör         |   96 |      1589 |
| 1961 | Hallstahammar   |  108 |      2185 |
| 1962 | Norberg         |   44 |      1064 |
| 1980 | Västerås        |  636 |      3401 |
| 1981 | Sala            |  148 |      1780 |
| 1982 | Fagersta        |   82 |      1220 |
| 1983 | Köping          |  107 |      1921 |
| 1984 | Arboga          |   88 |      1501 |
| 2021 | Vansbro         |   51 |       628 |
| 2023 | Malung - Sälen  |   81 |      1441 |
| 2026 | Gagnef          |  116 |      1305 |
| 2029 | Leksand         |  127 |      2008 |
| 2031 | Rättvik         |   83 |      1599 |
| 2034 | Orsa            |   55 |      1110 |
| 2039 | Älvdalen        |   36 |      1045 |
| 2061 | Smedjebacken    |  106 |      1122 |
| 2062 | Mora            |  115 |      1604 |
| 2080 | Falun           |  324 |      2687 |
| 2081 | Borlänge        |  276 |      2244 |
| 2082 | Säter           |   87 |      1626 |
| 2083 | Hedemora        |  148 |      1119 |
| 2084 | Avesta          |  158 |      1373 |
| 2085 | Ludvika         |  217 |      1271 |
| 2101 | Ockelbo         |   65 |       919 |
| 2104 | Hofors          |   96 |       800 |
| 2121 | Ovanåker        |   72 |       900 |
| 2132 | Nordanstig      |   90 |       677 |
| 2161 | Ljusdal         |  122 |      1126 |
| 2180 | Gävle           |  444 |      2695 |
| 2181 | Sandviken       |  281 |      1448 |
| 2182 | Söderhamn       |  191 |      1031 |
| 2183 | Bollnäs         |  193 |      1170 |
| 2184 | Hudiksvall      |  284 |      1731 |
| 2260 | Ånge            |   70 |       414 |
| 2262 | Timrå           |  139 |      1401 |
| 2280 | Härnösand       |  214 |      1162 |
| 2281 | Sundsvall       |  543 |      2249 |
| 2282 | Kramfors        |  165 |       543 |
| 2283 | Sollefteå       |  148 |       561 |
| 2284 | Örnsköldsvik    |  419 |      1325 |
| 2303 | Ragunda         |   43 |       374 |
| 2305 | Bräcke          |   47 |       612 |
| 2309 | Krokom          |   97 |      1608 |
| 2313 | Strömsund       |   74 |       648 |
| 2321 | Åre             |   87 |      2301 |
| 2326 | Berg            |   44 |       859 |
| 2361 | Härjedalen      |   85 |      1098 |
| 2380 | Östersund       |  245 |      2709 |
| 2401 | Nordmaling      |   55 |       800 |
| 2403 | Bjurholm        |   12 |       473 |
| 2404 | Vindeln         |   42 |       806 |
| 2409 | Robertsfors     |   64 |       713 |
| 2417 | Norsjö          |   31 |       439 |
| 2418 | Malå            |   22 |       379 |
| 2421 | Storuman        |   43 |       789 |
| 2422 | Sorsele         |   21 |       392 |
| 2425 | Dorotea         |   10 |       407 |
| 2460 | Vännäs          |   66 |      1626 |
| 2462 | Vilhelmina      |   56 |       533 |
| 2463 | Åsele           |   26 |       265 |
| 2480 | Umeå            |  554 |      3344 |
| 2481 | Lycksele        |   95 |       901 |
| 2482 | Skellefteå      |  553 |      1591 |
| 2505 | Arvidsjaur      |   52 |       691 |
| 2506 | Arjeplog        |   21 |       847 |
| 2510 | Jokkmokk        |   35 |       786 |
| 2513 | Överkalix       |   24 |       571 |
| 2514 | Kalix           |  159 |       709 |
| 2518 | Övertorneå      |   28 |       403 |
| 2521 | Pajala          |   26 |       576 |
| 2523 | Gällivare       |   98 |      1651 |
| 2560 | Älvsbyn         |  103 |       637 |
| 2580 | Luleå           |  376 |      2640 |
| 2581 | Piteå           |  398 |      1569 |
| 2582 | Boden           |  150 |      1383 |
| 2583 | Haparanda       |   55 |       936 |
| 2584 | Kiruna          |   64 |      1668 |
